n,m,k,e
100,1000,3,5
100,1000,3,6
100,1000,4,5
100,1000,4,6
100,1000,5,5
100,1000,5,6
100,1000,6,4
100,1000,6,5
100,300,3,7
100,300,3,9
100,300,4,8
100,300,4,10
100,300,5,7
100,300,5,9
100,300,6,7
100,300,6,7
100,600,3,6
100,600,3,7
100,600,4,6
100,600,4,8
100,600,5,6
100,600,5,8
100,600,6,5
100,600,6,7
200,1200,3,13
200,1200,3,14
200,1200,4,12
200,1200,4,16
200,1200,5,11
200,1200,5,16
200,1200,6,11
200,1200,6,15
200,2000,3,9
200,2000,3,11
200,2000,4,11
200,2000,4,14
200,2000,5,10
200,2000,5,14
200,2000,6,10
200,2000,6,13
200,600,3,18
200,600,3,20
200,600,4,19
200,600,4,22
200,600,5,16
200,600,5,20
200,600,6,14
200,600,6,18
400,1200,3,37
400,1200,3,43
400,1200,4,38
400,1200,4,45
400,1200,5,36
400,1200,5,43
400,1200,6,33
400,1200,6,40
400,2400,3,25
400,2400,3,32
400,2400,4,28
400,2400,4,34
400,2400,5,27
400,2400,5,34
400,2400,6,24
400,2400,6,31
400,4000,3,19
400,4000,3,25
400,4000,4,22
400,4000,4,30
400,4000,5,22
400,4000,5,29
400,4000,6,21
400,4000,6,27
800,2400,3,77
800,2400,3,91
800,2400,4,77
800,2400,4,94
800,2400,5,73
800,2400,5,90
800,2400,6,62
800,2400,6,82
800,4800,3,52
800,4800,3,64
800,4800,4,57
800,4800,4,72
800,4800,5,58
800,4800,5,71
800,4800,6,53
800,4800,6,68
800,8000,3,40
800,8000,3,51
800,8000,4,48
800,8000,4,61
800,8000,5,46
800,8000,5,62
800,8000,6,45
800,8000,6,60
