n,m/n,k,e,r
100,10.0,3,5,57.05
100,10.0,3,6,57.72
100,10.0,4,5,57.05
100,10.0,4,6,57.72
100,10.0,5,5,57.05
100,10.0,5,6,57.72
100,10.0,6,4,56.31
100,10.0,6,5,57.05
100,3.0,3,7,65.1
100,3.0,3,9,67.06
100,3.0,4,8,66.11
100,3.0,4,10,67.95
100,3.0,5,7,65.1
100,3.0,5,9,67.06
100,3.0,6,7,65.1
100,3.0,6,7,65.1
100,6.0,3,6,59.95
100,6.0,3,7,60.74
100,6.0,4,6,59.95
100,6.0,4,8,61.47
100,6.0,5,6,59.95
100,6.0,5,8,61.47
100,6.0,6,5,59.09
100,6.0,6,7,60.74
200,6.0,3,13,60.35
200,6.0,3,14,60.74
200,6.0,4,12,59.95
200,6.0,4,16,61.47
200,6.0,5,11,59.53
200,6.0,5,16,61.47
200,6.0,6,11,59.53
200,6.0,6,15,61.11
200,10.0,3,9,56.69
200,10.0,3,11,57.4
200,10.0,4,11,57.4
200,10.0,4,14,58.34
200,10.0,5,10,57.05
200,10.0,5,14,58.34
200,10.0,6,10,57.05
200,10.0,6,13,58.04
200,3.0,3,18,67.06
200,3.0,3,20,67.95
200,3.0,4,19,67.51
200,3.0,4,22,68.79
200,3.0,5,16,66.11
200,3.0,5,20,67.95
200,3.0,6,14,65.1
200,3.0,6,18,67.06
400,3.0,3,37,67.29
400,3.0,3,43,68.59
400,3.0,4,38,67.51
400,3.0,4,45,69.0
400,3.0,5,36,67.06
400,3.0,5,43,68.59
400,3.0,6,33,66.35
400,3.0,6,40,67.95
400,6.0,3,25,60.15
400,6.0,3,32,61.47
400,6.0,4,28,60.74
400,6.0,4,34,61.82
400,6.0,5,27,60.55
400,6.0,5,34,61.82
400,6.0,6,24,59.95
400,6.0,6,31,61.29
400,10.0,3,19,56.88
400,10.0,3,25,57.88
400,10.0,4,22,57.4
400,10.0,4,30,58.63
400,10.0,5,22,57.4
400,10.0,5,29,58.48
400,10.0,6,21,57.23
400,10.0,6,27,58.19
800,3.0,3,77,67.62
800,3.0,3,91,69.1
800,3.0,4,77,67.62
800,3.0,4,94,69.4
800,3.0,5,73,67.17
800,3.0,5,90,69.0
800,3.0,6,62,65.86
800,3.0,6,82,68.17
800,6.0,3,52,60.35
800,6.0,3,64,61.47
800,6.0,4,57,60.83
800,6.0,4,72,62.16
800,6.0,5,58,60.93
800,6.0,5,71,62.07
800,6.0,6,53,60.45
800,6.0,6,68,61.82
800,10.0,3,40,57.05
800,10.0,3,51,57.96
800,10.0,4,48,57.72
800,10.0,4,61,58.7
800,10.0,5,46,57.56
800,10.0,5,62,58.77
800,10.0,6,45,57.48
800,10.0,6,60,58.63
